id,name,password,curFoudrisingAmount,closedFoundrisingAmount,fund_balance,income_history,outcome_history,volunteer_amount
301,Waters-Fisher,XGUkdikM2Qjt,26,46,$159786.28,$0.47,$1.58,54
302,Will Group,8Cm6ox8,69,27,$7024291.55,$1.55,$4.94,78
303,Hickle Group,OjhwZul,65,96,$6940983.24,$5.45,$4.08,58
304,Gulgowski-Tremblay,m4hHMC2NvTm,12,97,$7983323.26,$0.66,$3.25,52
305,"Mante, Friesen and Aufderhar",5lolaEOi0w,39,12,$7468320.60,$5.19,$5.28,0
306,"Robel, Klocko and Baumbach",JmHjkOUCC,61,40,$1583535.17,$8.02,$7.27,4
307,Wyman Group,vxnnelMmhq,66,77,$2697436.56,$1.19,$4.18,70
308,Hauck-Ebert,4Noko1vWf,0,19,$8497976.32,$1.52,$3.44,49
309,Wisozk Group,VbgLaBxK,17,40,$3248392.42,$2.20,$6.15,6
310,"Bradtke, Murazik and Hammes",En2S7PN,72,43,$7944615.00,$7.77,$5.73,32
311,"Swaniawski, Smith and Hickle",hlxT3m0,41,32,$1466488.84,$2.58,$7.69,29
312,"Cartwright, Schuppe and Koelpin",KG24PXK456,25,21,$7948433.07,$1.30,$3.87,77
313,O'Conner Inc,4NmfgaNL7,16,88,$917343.39,$2.47,$9.02,39
314,"Welch, Smitham and Ortiz",uz0Vn0UGc4,10,32,$8707722.09,$3.70,$2.61,15
315,Hahn and Sons,70MCTn,56,90,$8754624.78,$6.57,$8.57,95
316,Gaylord LLC,1BNjKXptT1Y,70,37,$1660486.99,$7.81,$7.00,39
317,Nikolaus-Sipes,GTfCCHg,67,40,$2586870.34,$4.88,$9.68,28
318,"Gaylord, Bartell and Wilkinson",rbqtQtzk5,86,55,$6580176.60,$6.33,$4.85,84
319,"King, McClure and Mertz",g2j7GqidMeA,75,55,$2668246.92,$4.50,$6.30,17
320,Nolan-Huel,tr8NDc8nfcBn,49,91,$2053279.35,$7.99,$8.73,19
321,Bartoletti-Kihn,JkFLEFiI,10,0,$8217162.77,$6.03,$1.64,59
322,"Will, Parker and Hane",3fslUP3pD,71,35,$1996250.88,$3.31,$9.23,37
323,"Fisher, Willms and Hahn",CwQTtFgZT,82,18,$557147.19,$9.73,$4.28,2
324,Howe-Schulist,pTtIoB,0,36,$1670279.18,$6.32,$7.28,4
325,Hane LLC,31TYFjTe,34,27,$15592.80,$0.81,$3.49,17
326,Haag-Towne,ZIUFoE,18,64,$1648567.37,$6.45,$9.56,89
327,Wolff LLC,95RmF9R,43,95,$4712893.29,$6.28,$0.84,16
328,Goldner-Glover,hJa21x7T,54,53,$7713229.05,$6.79,$8.97,65
329,Shanahan Group,mq5KZsOrc,26,5,$2309748.40,$0.51,$3.15,86
330,Bernier Group,S5yrxOU,86,0,$1346921.49,$1.42,$5.56,35
331,"Jerde, Mills and Dietrich",UjuOtCRhch,60,1,$1894136.67,$0.29,$6.09,9
332,Runolfsson and Sons,UqfyNpV,13,44,$4650318.69,$9.85,$4.78,8
333,Dooley-Ullrich,Vqm5k9o2S7,36,98,$2376530.59,$6.91,$4.25,62
334,Reilly Inc,NeUlyElMP,77,40,$5198277.13,$1.02,$9.57,37
335,Buckridge-Crona,lJelWm9,11,99,$5459641.32,$5.89,$3.41,20
336,"Kris, McCullough and Wuckert",ie5baO,12,44,$7195222.09,$2.11,$0.44,100
337,Jast Inc,L1p51XT,11,62,$7285215.21,$7.83,$6.10,71
338,Kilback and Sons,AHZm5vyz9R8M,47,92,$2097351.15,$7.63,$2.25,74
339,"Marvin, Quitzon and Toy",YKtGd6,29,52,$1826027.07,$0.91,$3.23,62
340,Brown and Sons,jK6rGHvDmq,68,44,$3086575.17,$6.09,$1.98,95
341,Crooks-Shields,OpoSvcRqEg,83,99,$5256871.79,$5.85,$1.54,5
342,Macejkovic-Yost,GQ5PY5CscX,76,4,$2017569.13,$8.53,$3.89,86
343,Corwin-Kerluke,W2JPXi,37,59,$8376686.06,$7.28,$5.43,94
344,Bergstrom-Hickle,WxNEUykyFY,44,80,$7616567.21,$1.45,$2.18,62
345,"Labadie, Kuhn and Bauch",CpCsFOoL46in,4,26,$1191902.72,$3.23,$5.82,67
346,Turcotte-Reynolds,4BwToIOI8e,56,23,$7782992.96,$8.27,$7.12,90
347,"Renner, Murphy and Terry",rkUusxQ,48,96,$4673424.15,$9.99,$7.00,81
348,"Corkery, Purdy and Jacobson",Syku19j,13,61,$8425185.34,$0.28,$7.31,21
349,"Wilkinson, Keebler and O'Keefe",xxrQkNacX,3,90,$7040659.54,$1.36,$1.72,95
350,"Skiles, Mayert and Jacobs",GhjpEAH,57,33,$7395322.71,$5.42,$0.25,62
351,"Green, Luettgen and Romaguera",soPN81,55,86,$3702878.71,$9.95,$5.30,28
352,Jacobs and Sons,bbG4j4tEpc,15,13,$6794433.89,$5.33,$1.00,40
353,Kirlin Inc,q0YS5H,97,69,$7261509.50,$7.48,$0.49,51
354,Effertz-Davis,uui7ijs,34,95,$2834447.73,$7.32,$7.99,29
355,Pfannerstill and Sons,Jfp02gs8,15,40,$7558200.42,$1.35,$8.43,9
356,Zemlak Group,ec9kIJiDT24,50,16,$1436841.15,$2.03,$7.03,14
357,Champlin Inc,Bg3B708,35,53,$341295.41,$5.46,$5.71,78
358,"Cormier, Cummings and O'Keefe",r2loVYKzdQ,6,90,$1402347.20,$6.33,$4.33,55
359,Harvey-Jaskolski,XTZDnNRxKm0U,62,75,$6853638.18,$9.50,$3.93,48
360,Russel Group,SpR5Tmyq,11,11,$6731399.63,$3.01,$8.61,23
361,Block-Keebler,ffBaIX0,78,40,$1892977.50,$7.03,$1.89,42
362,"Barton, McCullough and Johnston",IN0USqZwVD,39,48,$717065.96,$8.21,$3.32,1
363,Senger Inc,2n2fojdfqWw,18,58,$1249837.93,$0.82,$1.14,11
364,McGlynn-Schuppe,KVp5Gn,12,64,$8005584.99,$3.66,$5.72,53
365,Stamm LLC,1Z2Nq6TZDRu,61,86,$892328.21,$0.45,$3.86,1
366,Barrows LLC,X7aR4H5kxYPW,82,17,$99711.95,$3.21,$7.53,42
367,"Dare, Veum and Rath",EWm6zkcnGN,50,12,$7290158.73,$9.16,$8.38,46
368,Kshlerin and Sons,B0F3Udr0,17,57,$6702125.74,$7.05,$1.37,31
369,"Bailey, Hilll and Jast",dXXmWh7j,61,54,$3151524.66,$3.33,$1.48,60
370,"Kihn, Smith and Hyatt",XEdRePij,18,47,$3481651.46,$2.34,$9.56,78
371,"Bogan, Herman and Abshire",ezr8PIFB,51,63,$8855332.30,$5.31,$8.15,78
372,Lubowitz-Labadie,7NeNrlmPe4b,33,11,$2685489.42,$3.20,$1.41,75
373,Gleason and Sons,3Cn3QAUUdQ,5,20,$1124410.57,$6.00,$4.13,94
374,Kihn and Sons,BvOjSjej29BD,50,100,$2488062.51,$3.67,$5.14,23
375,"Wiza, Collier and Hansen",xfzvgP,89,100,$2099256.84,$0.65,$7.88,64
376,Medhurst and Sons,LXywaXG1HGbQ,29,9,$2970198.39,$7.68,$8.33,55
377,Schultz and Sons,E2kG2xcO,19,34,$584607.52,$5.25,$0.60,95
378,Daugherty Inc,otR87HCJ,100,88,$8817627.85,$8.39,$4.33,67
379,Will-Swift,V2lGHXic,59,37,$4110011.73,$2.71,$7.40,14
380,Hintz-Ratke,sPQlyKF6eXJJ,86,20,$6600401.10,$7.19,$9.52,81
381,Marvin LLC,7NAIrTJ5l2,75,67,$6470959.53,$8.95,$0.76,70
382,Crooks-Kuhic,Vx7Oi4tynliE,10,53,$5092086.03,$8.11,$6.91,5
383,Walsh-Prosacco,7I7zBNjW,94,83,$889844.35,$5.98,$3.17,95
384,Strosin and Sons,AoJegpes,87,9,$7896721.56,$6.43,$3.91,22
385,Mitchell-Gerlach,kmNZIOC9TJk4,86,22,$4642429.79,$8.66,$4.57,1
386,Hilpert-Howe,HDgdHs6,100,90,$6994986.62,$4.94,$0.47,94
387,"Kuhn, Pacocha and Lindgren",f3wJjZ74kc,77,45,$1090154.71,$0.02,$4.63,45
388,Steuber-Boehm,09HcNfJBpc5G,98,71,$4117900.67,$4.75,$5.87,88
389,Fay LLC,8sxS7I4vT,38,64,$5835883.93,$2.76,$8.50,59
390,Donnelly-Pollich,TVjrrXL5KZ,76,20,$6401349.55,$3.47,$3.37,58
391,Funk-Breitenberg,XcADaYHcs,94,56,$3290300.36,$8.95,$7.59,60
392,Muller-Bosco,sQ6lUUwTAl9b,12,72,$5422736.04,$7.56,$6.38,31
393,Koch-Huel,lF2SXaBs,34,86,$1410772.81,$4.31,$5.72,8
394,Ledner-Jacobson,Io4qQGRB,58,69,$3568979.09,$2.50,$3.75,68
395,Purdy LLC,5jJ2lqfykEV,52,33,$1404646.09,$3.91,$5.28,45
396,Bartoletti-Schiller,uoUO0Z,15,22,$1689547.65,$4.02,$1.15,74
397,Mante-Blanda,gvdXUcIw,74,14,$3438200.86,$3.26,$6.08,58
398,Gleason-Hayes,tI89R1X,48,81,$3449404.12,$8.12,$3.50,15
399,Cremin-Koss,e7q1Hob,26,60,$2885770.58,$8.73,$4.69,12
400,Huels Inc,ie9Tzl3cA,99,4,$5508253.99,$8.47,$3.53,21
401,"Lehner, Heaney and Schumm",OBd3Qn,87,76,$4215678.74,$8.71,$9.09,53
402,Runolfsdottir Inc,AsRzLlEZoEL,82,34,$6182411.55,$2.40,$5.04,45
403,Turcotte Inc,XANFtRGCJLs,85,51,$5905211.53,$8.62,$8.39,70
404,Batz Group,m4ZY2xljOKt,7,15,$5817175.30,$0.82,$7.89,19
405,Considine-Rosenbaum,lXt80qQ,94,48,$3081589.48,$5.55,$3.03,3
406,Olson LLC,IsKKQ5hzIYq,61,88,$6088879.44,$7.92,$6.99,81
407,Haley LLC,lDOSOT6vM,24,88,$4849633.33,$3.47,$0.57,60
408,Mohr LLC,1vEJqHbWY1f,19,40,$4219664.61,$9.77,$3.38,71
409,Nikolaus Group,ixknH2hVgcd,1,54,$5269654.86,$0.78,$3.08,32
410,"Stanton, Bechtelar and Runte",cHWZI2K33L2,87,79,$1192645.98,$4.99,$4.07,15
411,Heathcote Group,T6BnTCM7cWSM,74,63,$387195.92,$8.45,$9.83,24
412,Fritsch LLC,KIaiu1i,92,13,$4136162.34,$1.05,$7.38,26
413,Gibson LLC,HB0pCFZ,0,95,$2281643.01,$7.98,$3.88,24
414,"Schroeder, Bosco and Schiller",CvGBjE6xyiI,92,25,$2379220.35,$2.94,$8.92,100
415,Koss-White,7xUyOGZ,87,42,$3386611.15,$9.20,$3.25,57
416,"Gulgowski, Schumm and Sanford",39UqJjA7vkzm,5,48,$1579898.42,$7.62,$3.00,92
417,Vandervort-Nicolas,lUTN0kpiWjDv,56,72,$7488143.01,$4.70,$6.67,62
418,Jaskolski Group,iICoqIFf06k,21,8,$3432035.83,$7.52,$1.40,22
419,"Little, Olson and Kris",DkVoUBoY4O,9,5,$8862043.87,$3.81,$3.30,53
420,Thiel Inc,ql4P5LTASE,50,71,$817774.58,$2.42,$5.50,13
421,Heathcote LLC,UMyU6e99,5,99,$5454894.31,$5.19,$0.70,50
422,Spencer Group,EURa4X8caA,6,76,$8693647.97,$1.34,$1.05,54
423,Krajcik and Sons,2XjwHjQ,49,97,$4556749.66,$9.48,$4.59,87
424,"Luettgen, Okuneva and Carroll",Iw1ZrTUW,48,15,$7224850.66,$3.86,$9.47,10
425,"Kautzer, Zieme and Wilderman",DBBEFxZE,18,74,$5051536.59,$9.62,$6.68,22
426,Bernier-Ledner,4mXgsPY9P,63,63,$2321783.03,$2.21,$7.56,43
427,"Sanford, Kshlerin and Heidenreich",Bu6Ueioz4i3,48,25,$3997630.28,$9.78,$6.42,38
428,Runolfsson and Sons,8SD6gzVQ,85,66,$8495154.46,$8.77,$1.11,51
429,"Herzog, Schinner and Herman",fisFPkH9V2,10,88,$8476849.61,$6.33,$0.94,73
430,"Cremin, Grady and Schaefer",RsmV93yZY8,67,88,$4587877.98,$0.26,$2.90,51
431,"Dach, Mertz and King",LEUXOqjeq,44,56,$1189807.08,$9.14,$9.00,73
432,"Satterfield, Lubowitz and Hessel",lTOHLxmLog,6,6,$8031144.36,$1.43,$4.46,84
433,Homenick-Kulas,3sPzWWW7K6Oe,8,74,$8855736.69,$6.29,$2.06,16
434,Armstrong Inc,lSSbTuiCuUU,86,26,$378274.00,$8.10,$9.91,1
435,Jakubowski LLC,J9M21CSH,87,12,$697595.72,$3.51,$3.72,25
436,Halvorson-Davis,GnHe03OVT,73,23,$300953.42,$7.57,$6.38,10
437,Blick-Ritchie,QlUmObC,69,35,$2647871.53,$4.69,$2.28,53
438,"Maggio, Effertz and Conn",ScZjz3ymnypI,85,13,$3716097.23,$7.89,$1.17,92
439,Stroman-Mayert,R5gE0Xy0ZL5y,91,44,$4975981.04,$2.30,$1.67,91
440,Predovic-Jones,Q2URrX,57,53,$3657889.71,$3.40,$6.25,24
441,Littel Group,bYkmmViBSm8M,2,29,$681459.07,$0.92,$7.07,38
442,"Schumm, Hoeger and Harber",jR6BwZmKdj,40,33,$1963659.73,$3.15,$0.15,7
443,"Goodwin, Schimmel and Rempel",AhCquVPhTf,86,34,$1997481.93,$6.91,$7.54,53
444,Marquardt Inc,J6J8aISHl,13,55,$8608850.54,$9.34,$5.00,20
445,"Schumm, Frami and Wiegand",ViLLWMLGQdk,39,23,$3521607.19,$3.79,$1.19,46
446,Lynch-Senger,LIX195GxcgUh,81,57,$5445136.30,$7.41,$6.38,27
447,"Wilderman, Zemlak and Schuppe",RtVxqihvaoF,86,12,$7711331.65,$5.48,$7.47,8
448,"Schinner, Howe and White",9ilwqqyGpn5A,22,11,$6889408.22,$5.59,$8.10,70
449,Collins-Stiedemann,DSAGnbq,25,68,$1634310.16,$2.36,$2.35,96
450,Keeling and Sons,Ax9ALVuFpn,93,90,$1209718.42,$2.50,$4.18,75
451,"Ryan, Parker and Boehm",uQ9qOrgWi,62,19,$8765245.25,$6.97,$1.18,38
452,"Collins, Roob and Maggio",bQF2u7,95,42,$898136.44,$6.55,$3.01,13
453,"Haley, Miller and Connelly",217uaz,30,27,$3105692.76,$3.76,$5.71,48
454,Hansen-Bode,CQbwD4GpRd4,69,72,$3930728.01,$1.68,$7.13,32
455,Boyle LLC,djTjni2em,82,49,$2941673.09,$8.14,$3.77,24
456,Lehner-Hickle,zDnPIXVAy1w,75,23,$4712048.85,$9.04,$1.49,83
457,"Ferry, Price and Cartwright",tCjxXUfic7,100,41,$3256992.95,$4.88,$2.09,52
458,"Reinger, Spinka and Jast",IKA2evWh,15,99,$8748763.18,$7.70,$1.13,88
459,Strosin-Wilderman,IIHkjy,82,67,$7202383.90,$5.17,$9.30,57
460,Crona-Funk,KFAkmMeg,99,91,$7493842.31,$5.64,$8.79,8
461,"Wuckert, Leuschke and Windler",Me9AesSy,50,57,$3054032.51,$8.73,$4.10,22
462,Altenwerth-Koch,DtrgFdtMWtnE,41,20,$1751244.22,$6.61,$3.50,94
463,"Grimes, Streich and Heaney",n10yfPzuvtB,3,82,$7252176.22,$7.18,$7.35,27
464,"Witting, Haley and Koss",aIFlAF6d1B,42,45,$3443267.67,$3.36,$3.95,4
465,"Rice, Kuhn and Schmitt",iI7YE6,63,8,$8985708.39,$1.19,$9.12,45
466,Ryan and Sons,vSx162,25,16,$4647858.22,$7.38,$7.62,63
467,"Russel, Kilback and Lemke",7TahIeR24hk,0,93,$6126068.44,$2.62,$9.70,75
468,Langworth-Russel,2PXv6Ths,17,50,$2378930.20,$8.94,$0.67,45
469,Homenick LLC,ajbguF3,47,31,$7080103.55,$9.56,$1.21,76
470,Shields Group,uBwGFCKZNm,46,40,$2220393.54,$1.89,$8.27,21
471,O'Connell Inc,EYpUtOW6w,68,89,$1584107.46,$8.75,$0.06,57
472,Schmitt Group,WIugW7CML,41,98,$7830476.80,$1.26,$6.04,34
473,Ritchie Group,a8NOaXxCdH,80,6,$5858962.46,$2.40,$8.24,5
474,VonRueden-Hansen,oQjX5SDL2V,96,67,$6902578.92,$9.14,$7.65,28
475,Kulas Inc,pHcoD4IEO,21,98,$6897792.53,$8.06,$8.30,91
476,Mayer and Sons,MQGKjL,51,11,$1206182.54,$2.21,$7.84,69
477,Bogan Inc,lBuGRc1DE4B,98,52,$2817174.16,$8.04,$6.52,24
478,Terry Group,xxsnKCJ,92,95,$455300.36,$5.53,$6.60,64
479,"Leuschke, Kulas and Bergstrom",JbCn7L,70,19,$5517664.04,$0.15,$7.68,46
480,Kuhn LLC,arVvNkNbZFrg,16,90,$1926499.34,$9.35,$0.03,81
481,Runolfsson-Conn,eYOQzu4F0dfE,24,90,$3128091.46,$9.63,$4.91,63
482,Purdy LLC,QJiuxH,100,64,$4031629.77,$9.04,$5.26,12
483,Hammes Inc,PKaNgqI9QC,0,21,$3250686.70,$1.86,$4.50,16
484,Mann Inc,7qfkAXzB8g,6,32,$2420005.80,$2.41,$2.30,78
485,Gusikowski-Wunsch,tBto4Z,93,53,$2197859.42,$8.34,$2.84,21
486,Little LLC,n2yM15yW8,38,36,$8024678.37,$6.43,$7.30,26
487,"Abshire, Kirlin and Monahan",WnE1aHHp,39,73,$97878.52,$7.92,$4.13,77
488,Keebler-Cormier,ef5CJVaQmHh,86,15,$2524848.53,$7.72,$5.94,86
489,Hudson-McClure,AksWnA23cD,8,82,$4769471.14,$2.63,$9.38,32
490,"Turcotte, Fisher and Zulauf",zYMptLB,54,89,$6548767.27,$4.51,$1.94,34
491,Konopelski Group,HkaEN731rP,8,72,$6188016.45,$9.53,$5.09,63
492,"Wilderman, Lesch and Bode",cVQnNTfd2,48,33,$4239536.43,$0.04,$2.50,71
493,Grimes LLC,bt9b99zQ5U0,71,42,$389212.94,$2.99,$4.85,62
494,"Grady, Von and Torp",rs0Dy6FeyT,44,22,$6319824.02,$2.50,$8.26,55
495,"Ritchie, Boyle and Conn",282tgSl2Q3H,70,99,$8301218.04,$1.91,$8.10,72
496,McCullough-Collier,5PKpEapr6q,36,95,$6716632.26,$9.44,$5.75,11
497,Abernathy-Jones,QpJShC,57,87,$7934956.85,$4.43,$5.84,3
498,Lemke and Sons,v2UxY2N4aFT,56,46,$1602074.53,$4.76,$1.54,42
499,Kihn-Farrell,CFFDT8Q,33,31,$5890574.43,$6.18,$9.45,56
500,Kassulke-Kassulke,zqfYVtT,69,96,$6895820.52,$8.93,$5.00,77
501,Gaylord LLC,xyNbHI,84,61,$1300750.87,$2.90,$9.44,85
502,Paucek-Cassin,iwghvnS,38,59,$6909502.46,$9.16,$9.93,45
503,Borer-Feeney,SVjFiukIg1ja,23,8,$6847701.97,$4.37,$4.08,56
504,"Prosacco, Gottlieb and Mills",4564wPquKvVW,56,89,$8521197.16,$5.02,$9.74,51
505,Rau and Sons,syekBi,66,45,$3711664.09,$6.60,$3.15,47
506,Cremin-Williamson,BtUeHQ,23,41,$5862950.70,$1.95,$5.84,35
507,Barton-Wyman,ao4acpgb8W,28,59,$1013359.20,$5.28,$4.90,79
508,Hettinger Group,7495bvD,33,3,$6145737.95,$2.57,$3.03,13
509,Reinger-Cassin,dLhZzqU3JrHt,68,86,$5706702.51,$9.21,$3.72,81
510,Price and Sons,GAjPsCuv,62,9,$5704829.61,$4.07,$3.81,61
511,Nikolaus-Moen,t3gJlVeCx,65,91,$6848916.75,$1.87,$1.02,19
512,Feest-Mante,7uGkb3dpf,34,42,$6860149.84,$3.30,$7.26,4
513,"McLaughlin, Nienow and Gleason",dt4ucvnzln8,54,8,$5998791.16,$1.46,$7.05,55
514,"Moore, Smith and Dach",X8l3MFKJ,1,1,$5138142.20,$3.29,$8.53,71
515,"Block, Stracke and Maggio",mJtTi9dlMt3X,72,20,$8056993.19,$1.18,$4.16,4
516,Watsica Inc,5cNVOU,27,62,$6198184.58,$8.68,$9.48,36
517,Windler-Hansen,HVj57p4YIY,32,51,$8418508.76,$1.80,$0.57,0
518,Feest Inc,tm288polIh,66,87,$4363383.13,$4.28,$6.11,82
519,Schultz Inc,OMmdfqBJJK,51,56,$6111728.78,$0.30,$0.26,46
520,Marvin-Emmerich,zrXZX4gpEiG,99,95,$7704871.86,$7.77,$6.86,78
521,Bashirian-Schamberger,TOWxORpEwagu,68,87,$7139072.03,$1.45,$6.85,2
522,Hilll Inc,sDtTJGkQRHh,6,94,$5566663.22,$0.16,$2.96,16
523,Glover and Sons,rEJPIHcv4b,11,88,$6010436.58,$4.14,$8.92,77
524,Thompson Group,X4pZYR,12,8,$1672259.92,$8.94,$2.23,53
525,Gibson Group,N0UzZXle,0,2,$773348.33,$2.09,$7.12,2
526,Jacobs Inc,1PaFYvAOqQEM,49,100,$785395.97,$8.31,$2.22,83
527,"Langosh, Mueller and Feest",gBq3YRJfvy,75,80,$1472498.98,$4.70,$2.79,48
528,Predovic-Towne,CRj5sr,55,71,$1064760.92,$6.73,$8.52,9
529,Berge LLC,ykkDej,68,52,$8791541.89,$7.62,$4.94,50
530,"Larkin, Altenwerth and Rutherford",sjTQZPb9C,4,58,$3660052.34,$9.90,$5.31,85
531,Emard Inc,rXG5WHfF,10,99,$7333824.02,$7.54,$8.47,2
532,Mitchell-Zemlak,TyghZ8,35,99,$2377760.35,$2.24,$7.47,61
533,"Cruickshank, O'Reilly and Thiel",BZLkkd49eE,25,96,$529144.51,$8.19,$7.91,27
534,"Dickinson, Boehm and Hoppe",7P3qWuBRg,45,70,$5800223.06,$8.24,$5.16,68
535,"Mayer, Hudson and Murazik",wmE6LA,97,49,$592564.97,$9.17,$3.28,57
536,Corkery-Rice,6Tjm6DkaJd2a,58,83,$4175008.78,$8.48,$8.17,49
537,Murray Group,dkZeum,39,91,$579385.96,$2.29,$4.14,59
538,Crona-Lueilwitz,PkBzzkGz,44,56,$2814397.57,$7.96,$1.21,64
539,Jones Group,udwSa1j2fD,82,20,$4567532.39,$0.53,$0.96,49
540,Crona LLC,VBOOQwzCJAhb,61,100,$2819469.54,$2.54,$4.78,89
541,Metz Inc,D8LMROUW2V,34,23,$4007960.15,$6.97,$5.55,88
542,"Lueilwitz, Rempel and Considine",T5TPttAQ,79,52,$7728200.16,$6.90,$3.51,84
543,Reichel and Sons,FoWfT4X9LBu,76,48,$8306340.27,$3.79,$7.11,75
544,"Carroll, Homenick and Olson",AeQLyXB5,84,36,$3759150.97,$3.76,$7.56,96
545,Nader and Sons,JC14fXNkcv,92,79,$4810180.09,$3.90,$8.43,15
546,Schowalter LLC,T2NGSeZ5TfK,44,75,$6815259.43,$1.26,$4.21,86
547,Schowalter Inc,7Tk1ebY8T,63,96,$576522.25,$3.03,$8.37,84
548,Murazik Group,qB3G7i,39,29,$8049039.71,$2.33,$2.61,67
549,Boyle-Kunde,Qgcykt2Pmpeo,40,12,$7058504.07,$0.03,$4.07,10
550,Ullrich-Leannon,PEotTH,39,39,$4139628.47,$5.26,$8.31,72
551,Moen Group,0rQVr2,64,28,$8816972.36,$7.51,$5.11,91
552,Langworth-Lemke,h6vmLRjv,47,4,$6300497.24,$5.44,$2.23,77
553,"Dibbert, Schmitt and Muller",fBzMPhaEf,21,25,$5464061.93,$5.56,$7.39,11
554,Kertzmann-Huels,AenVHOx,1,58,$6540961.90,$5.63,$9.28,50
555,"Boyer, Heller and Torphy",ACvvruPj,19,87,$5982460.94,$9.67,$4.94,40
556,Green-Funk,dLNdgkXWRi03,14,100,$1720623.45,$7.45,$8.93,39
557,Hahn-Senger,7ZJQols,96,16,$6029718.60,$0.50,$9.94,12
558,Roberts-Dickinson,a2BSGj4GESQ,28,53,$3609432.82,$9.13,$8.14,54
559,"Robel, Rutherford and Hills",ilJIkrROB,25,80,$8319756.09,$8.26,$8.57,9
560,Becker-O'Conner,OplZpHiPtWU2,79,70,$7740719.67,$5.80,$1.41,26
561,"DuBuque, Fisher and Larson",1DflaFtF4oPf,56,53,$1301987.32,$3.12,$1.37,87
562,Pacocha-Jacobs,n1PDSxwUQS,27,58,$1180689.67,$0.16,$0.05,23
563,Frami-Koss,NjkLIVC,83,84,$5657641.07,$9.77,$7.57,17
564,"Schmidt, Yost and Stark",PImSd6,21,43,$1984940.63,$5.03,$9.19,33
565,Bahringer-Purdy,uA6Ox9B0L,25,34,$6457216.67,$3.13,$5.96,88
566,Kohler-McDermott,55bo8R,51,51,$6458789.69,$2.11,$1.46,88
567,Gulgowski-Jenkins,G9Dg78xKAug,90,26,$7317787.30,$3.28,$8.76,4
568,"Deckow, Walter and Hilpert",0if5rI,54,21,$7006697.09,$8.97,$2.42,15
569,Klein LLC,BRR72Kc5,27,45,$8377893.16,$0.38,$0.88,55
570,"Volkman, Mueller and Boyer",Nddb04,85,57,$7675652.02,$2.52,$1.17,78
571,"Gutmann, Mayer and Hilll",brSA0W,29,66,$8130765.64,$9.46,$1.21,49
572,"Jones, Aufderhar and Pacocha",zGqLNZbbY,56,52,$4717825.52,$5.89,$2.41,15
573,Watsica and Sons,BW0KNup,80,21,$3436249.55,$5.20,$7.70,26
574,"Abbott, Nicolas and Kilback",Ljn2VhAJlkpp,4,61,$5577528.82,$0.95,$4.66,6
575,Schultz-Bergstrom,ck2cY98oiHE,49,84,$4901195.64,$8.18,$0.20,47
576,Gulgowski Group,ojOY5gfNf,50,75,$4811988.02,$8.02,$1.06,13
577,"Metz, Rogahn and Yundt",sxd3qf,1,23,$2137697.89,$6.99,$1.67,46
578,Bradtke-Bins,Sm2mBwmb1FdG,55,69,$8659739.05,$2.37,$5.71,98
579,"Funk, Wyman and Smitham",IPD3gC,1,3,$4929550.87,$5.69,$1.40,89
580,Stokes Group,2M5un2,16,60,$2572833.02,$8.55,$1.68,64
581,Corwin-Connelly,iRJM6o5,25,53,$2592727.04,$3.47,$9.32,61
582,Bechtelar-Pollich,62xEkZJf1Um,65,67,$6559907.05,$1.57,$9.55,59
583,Beier-Kuhlman,cr4jEygFR,2,95,$5184637.62,$9.25,$2.15,40
584,Kilback LLC,3TtTR6,64,62,$3410483.51,$3.30,$3.31,98
585,Feest-Heathcote,cgUDzJY,60,88,$8296016.39,$0.54,$6.30,7
586,Bauch Inc,to7JeNat9,74,24,$8652807.77,$9.54,$3.83,70
587,"Legros, D'Amore and Hansen",wrI5ukXANgJB,94,42,$4293284.75,$8.86,$0.04,38
588,"Adams, Marks and Kozey",38D0a5NUNNAf,55,1,$2206019.58,$6.30,$2.29,64
589,Denesik-Anderson,pNTnqEJtc,43,46,$4203473.60,$6.03,$1.01,82
590,"Herzog, Gleichner and Breitenberg",enDqYsLvqg4N,99,69,$333108.95,$1.87,$0.32,73
591,Hane LLC,ohz9Y5a4rPE,36,7,$6059968.39,$0.07,$2.38,48
592,VonRueden-Howell,KeByfFz,67,83,$5865996.75,$4.59,$9.54,77
593,Pfannerstill-Hermann,ql1SpGvatb,17,10,$2646044.27,$4.08,$0.17,11
594,Larkin-Hayes,KQG7Omh7ZK1,25,60,$2046023.96,$5.94,$5.02,35
595,Boyer Group,PkjgIkni2rri,39,91,$6884205.38,$9.86,$9.25,74
596,"Gerlach, Ryan and Schulist",77yj7ds3,4,12,$5868452.38,$7.87,$1.94,42
597,Mann-Bins,PFhgmDG,86,22,$506824.57,$4.96,$4.25,69
598,"Abernathy, Homenick and Marquardt",vPJBsB29e,74,58,$6191212.92,$4.57,$6.26,89
599,"Bailey, Huels and Corwin",6qJajOgCNV,99,20,$474434.76,$9.35,$4.09,40
600,"Hickle, Pagac and Terry",ApGBsAWG5,0,63,$2346026.69,$9.37,$7.44,90
601,Bednar-Ernser,mVPpDthBc,23,41,$4299466.52,$9.55,$8.31,67
602,Carroll-Ward,I8lPdsfAXw4,80,99,$5134027.58,$2.01,$5.29,91
603,Grimes-Johnston,8k3g6VMN,50,69,$4176579.66,$4.86,$4.24,51
604,Walker Group,0Ct5ZHmSB5,88,50,$36262.60,$6.31,$9.29,15
